Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,141,NA,NA,NA,NA,9444906507.768633,8127870838.177512,30736974763.00534,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,141,NA,NA,NA,NA,96304547.06723426,391339229.4703575,1755760350.9741664,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,140,NA,NA,NA,NA,4698450.117088435,17999478.45814024,80888951.55863935,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,141,NA,NA,NA,NA,4698450.117088435,17999478.45814024,80888951.55863935,20,Genotype
PLS,RMSE,abs_training,Spectra,NA,NA,141,NA,NA,NA,NA,3552899.3120835926,12509996.75524703,55335393.50464362,20,Genotype
PLS,RMSE,sq_training,Spectra,NA,NA,141,NA,NA,NA,NA,1522360.5967869225,6445665.673433098,28903216.028320782,20,Genotype
PLS,RMSE,std_training,Spectra,NA,NA,140,NA,NA,NA,NA,1033622.9430721025,3513481.9071952854,15660668.872158693,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,140,NA,NA,NA,NA,69165.33443880432,96346.20692927239,336308.0994238618,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,139,NA,NA,NA,NA,23401.592992522113,70730.29108690991,299596.6985171649,20,Genotype
PLS,RMSE,abs_training,Spectra,NA,NA,140,NA,NA,NA,NA,11266.009318490569,41744.854519887806,187555.9254267325,20,Genotype
PLS,RMSE,std_training,Spectra,NA,NA,139,NA,NA,NA,NA,6447.046676204307,25395.132032881495,113994.53520208143,20,Genotype
PLS,RMSE,sq_training,Spectra,NA,NA,140,NA,NA,NA,NA,2959.1643173440934,7081.995374399418,26068.782834404527,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,139,NA,NA,NA,NA,1395.8621356598994,2062.636394239589,7689.41312189398,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,138,NA,NA,NA,NA,1059.687155846329,3767.2101672436816,16782.997767603596,20,Genotype
PLS,RMSE,sq_training,Spectra,NA,NA,139,NA,NA,NA,NA,228.1854734387751,892.4701745612816,4013.069787557808,20,Genotype
PLS,RMSE,abs_training,Spectra,NA,NA,139,NA,NA,NA,NA,107.83932318056705,364.3401322142416,1631.4933465486888,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,138,NA,NA,NA,NA,74.91893192611771,122.45188346629936,532.6642970442301,20,Genotype
PLS,RMSE,std_training,Spectra,NA,NA,138,NA,NA,NA,NA,42.32241885368668,157.0612276279985,707.2116978768214,20,Genotype
PLS,RMSE,max_training,Spectra,NA,NA,137,NA,NA,NA,NA,41.19003957551351,146.82174180741214,655.3757303657752,20,Genotype
PLS,RMSE,base_training,Spectra,NA,NA,137,NA,NA,NA,NA,7.436234139397995,17.697149273021317,79.5428599200479,20,Genotype
